 C:\WinTA100\DIL805.PRO\Data\Quenching\01_Isabelle_QP_Q328oC_P350oC_t10s_09.28.17.PAR
                Time - rel. Change in Length /  Temperature  /  Nominal Temperature 
                  s                %                    °C                    °C
     0         0.00000000        0.00000000       27.89210129        0.00000000
     1         0.05035300       -0.00267553       28.21294212        0.49157000
     2         0.10039600       -0.00305014       28.01517296        0.99211997
     3         0.15152800       -0.00254178       28.18071556        1.50334001
     4         0.20171900       -0.00272905       28.02836037        2.00516987
     5         0.25185001       -0.00227421       27.93750954        2.50648999
     6         0.30201900       -0.00238122       28.29200172        3.00826025
     7         0.35211799       -0.00251500       28.18364906        3.50923014
     8         0.40230101       -0.00262205       27.81001854        4.01124001
     9         0.45240000       -0.00251500       28.10161781        4.51204967
    10         0.50251800       -0.00296988       27.98293686        5.01331997
    11         0.55264097       -0.00256852       27.94486046        5.51446009
    12         0.60281301       -0.00248826       28.11040497        6.01623011
    13         0.65299201       -0.00259527       28.12063599        6.51773977
    14         0.70308101       -0.00235448       28.27152824        7.01888990
    15         0.75320703       -0.00270231       28.05766678        7.52012014
    16         0.80336398       -0.00302336       28.17778969        8.02164936
    17         0.85347098       -0.00329093       28.28763008        8.52280045
    18         0.90357298       -0.00240800       28.14849091        9.02381992
    19         0.95370901       -0.00256852       28.23493195        9.52505016
    20         1.00386202       -0.00216717       28.24809265       10.02665043
    21         1.05402803       -0.00243474       28.42968369       10.52839088
    22         1.10409105       -0.00267553       28.01517296       11.02892971
    23         1.15428603       -0.00334445       28.08257103       11.53108025
    24         1.20440602       -0.00259527       28.09429550       12.03211975
    25         1.25447297       -0.00248826       28.10161781       12.53271008
    26         1.30463898       -0.00267553       27.98295975       13.03442955
    27         1.35482502       -0.00187286       27.98293686       13.53629971
    28         1.40497506       -0.00232774       28.09721947       14.03783989
    29         1.45507896       -0.00235448       28.11773109       14.53904057
    30         1.50522804       -0.00329093       28.25248909       15.04039001
    31         1.55538094       -0.00280931       28.23199081       15.54188919
    32         1.60548604       -0.00275583       28.13968086       16.04290962
    33         1.65556800       -0.00232774       28.09721947       16.54371071
    34         1.70571303       -0.00251500       28.00931168       17.04513931
    35         1.75581706       -0.00206017       28.05620384       17.54624939
    36         1.80596697       -0.00283609       28.28616714       18.04751015
    37         1.85606301       -0.00302336       28.05328178       18.54862976
    38         1.90616906       -0.00318389       28.25543022       19.04979897
    39         1.95632505       -0.00291636       28.20415306       19.55118942
    40         2.00643706       -0.00243474       28.15142632       20.05242157
    41         2.05654812       -0.00219395       28.37109184       20.55366898
    42         2.10670400       -0.00230096       28.43698120       21.05503082
    43         2.15688610       -0.00246148       28.23491096       21.55690956
    44         2.20708108       -0.00267553       28.39891624       22.05888939
    45         2.25721502       -0.00283609       28.18218231       22.56023788
    46         2.30725408       -0.00235448       28.29056549       23.06052017
    47         2.35737705       -0.00240800       28.34767342       23.56195068
    48         2.40748000       -0.00230096       28.45455170       24.06282043
    49         2.45764494       -0.00200665       28.43698120       24.56438065
    50         2.50779605       -0.00254178       28.38722420       25.06608009
    51         2.55792689       -0.00278257       28.37694931       25.56739998
    52         2.60807610       -0.00280931       28.41208839       26.06885910
    53         2.65815496       -0.00254178       28.38720131       26.56963158
    54         2.70829511       -0.00203343       28.45013046       27.07103920
    55         2.75837994       -0.00195316       28.53502464       27.57184982
    56         2.80852103       -0.00240800       28.56726837       28.07328987
    57         2.85859489       -0.00230096       28.57164001       28.57410812
    58         2.90875912       -0.00235448       28.67115021       29.07563972
    59         2.95887089       -0.00219395       28.99732208       29.57664871
    60         3.00897288       -0.00173912       28.96515465       30.07770920
    61         3.05906391       -0.00112372       29.60666275       30.57859039
    62         3.10920310       -0.00024079       30.07662773       31.08012009
    63         3.15930009        0.00085619       31.01514626       31.58108902
    64         3.20942593        0.00085619       31.69309425       32.08230972
    65         3.25961208        0.00128428       32.48182678       32.58416748
    66         3.30973005        0.00157859       32.71686554       33.08539963
    67         3.35987711        0.00278261       33.86869431       33.58686066
    68         3.40996790        0.00347823       34.21440887       34.08766174
    69         3.46013999        0.00468225       34.59454727       34.58953094
    70         3.51028204        0.00497656       35.11006165       35.09074783
    71         3.56036997        0.00572571       35.65819550       35.59180832
    72         3.61049700        0.00577923       36.07457733       36.09304810
    73         3.66057992        0.00626084       36.72658539       36.59378052
    74         3.71067691        0.00727756       37.02565765       37.09494019
    75         3.76080704        0.00791970       37.59740448       37.59619904
    76         3.81098890        0.00955177       37.97911835       38.09793091
    77         3.86111307        0.01019391       38.14547729       38.59918213
    78         3.91128206        0.01024743       39.16965485       39.10091019
    79         3.96139312        0.01075579       39.80596161       39.60195923
    80         4.01150703        0.01147819       40.23873901       40.10324097
    81         4.06167221        0.01182602       40.50705338       40.60483932
    82         4.11177778        0.01311027       41.24130249       41.10568237
    83         4.16193914        0.01391293       41.54180527       41.60749817
    84         4.21203613        0.01436781       42.48764038       42.10851288
    85         4.26219606        0.01503669       42.70214081       42.60984802
    86         4.31238508        0.01525074       42.84556198       43.11190033
    87         4.36254215        0.01594636       43.68394852       43.61339188
    88         4.41268587        0.01664202       44.03672028       44.11493683
    89         4.46280193        0.01736443       44.64957809       44.61614990
    90         4.51290607        0.01854166       45.30543518       45.11711121
    91         4.56304789        0.01942459       45.54267883       45.61863708
    92         4.61319685        0.01969216       46.18602753       46.12003708
    93         4.66327810        0.02020052       46.73278809       46.62080765
    94         4.71338081        0.02081592       47.16632843       47.12189102
    95         4.76349497        0.02135102       47.61354446       47.62309265
    96         4.81361485        0.02199316       48.15444565       48.12419891
    97         4.86375189        0.02325066       48.80691528       48.62545776
    98         4.91387892        0.02405332       49.27220917       49.12681961
    99         4.96409893        0.02453494       49.55232239       49.62895966
   100         5.01426506        0.02504330       49.95257187       50.13071060
   101         5.06441307        0.02536435       50.79537964       50.63217163
   102         5.11459398        0.02614027       50.90287399       51.13396072
   103         5.16467905        0.02734427       51.77468109       51.63478851
   104         5.21486712        0.02795965       52.02684021       52.13665771
   105         5.26499224        0.02876232       52.53911972       52.63798141
   106         5.31515503        0.02932420       53.31769943       53.13961792
   107         5.36528683        0.02988607       53.62460709       53.64089966
   108         5.41544199        0.03036767       54.03952408       54.14237213
   109         5.46560001        0.03092953       54.61482620       54.64414978
   110         5.51580477        0.03186598       55.18944931       55.14608765
   111         5.56597185        0.03285595       55.51040268       55.64778900
   112         5.61610699        0.03373888       56.08254242       56.14916992
   113         5.66621780        0.03419371       56.87062073       56.65023041
   114         5.71636009        0.03448803       57.25522232       57.15167999
   115         5.76645279        0.03542447       57.80470657       57.65266037
   116         5.81650400        0.03553150       58.06202316       58.15317154
   117         5.86661482        0.03646795       58.63533783       58.65419006
   118         5.91677380        0.03737764       59.12700272       59.15590668
   119         5.96689796        0.03863516       59.84027100       59.65705872
   120         6.01703310        0.03922378       60.34167480       60.15819931
   121         6.06721020        0.04005320       60.81384277       60.66021729
   122         6.11740208        0.04037428       61.26505280       61.16217041
   123         6.16754913        0.04074885       61.62163162       61.66355896
   124         6.21775007        0.04117694       62.20989609       62.16554260
   125         6.26779413        0.04224716       63.00178146       62.66600037
   126         6.31792688        0.04307660       63.13111877       63.16732025
   127         6.36801291        0.04398628       63.56528091       63.66821671
   128         6.41816378        0.04428058       64.25991058       64.16978455
   129         6.46834517        0.04481572       64.43920135       64.67148590
   130         6.51854610        0.04500299       65.33325195       65.17350769
   131         6.56867313        0.04609998       65.47283173       65.67473602
   132         6.61882019        0.04674210       66.23378754       66.17625427
   133         6.66891813        0.04775882       66.64358521       66.67729950
   134         6.71905899        0.04872203       67.02871704       67.17854309
   135         6.76915407        0.04923039       67.62542725       67.67958069
   136         6.81926489        0.05000629       68.18503571       68.18078613
   137         6.86938715        0.04976550       68.69958496       68.68190765
   138         6.91954422        0.05067519       69.26602936       69.18347168
   139         6.96973705        0.05161164       69.81845093       69.68544769
   140         7.01983976        0.05278890       70.28167725       70.18640137
   141         7.07000780        0.05353805       70.63718414       70.68827820
   142         7.12011385        0.05388588       71.29254913       71.18926239
   143         7.17025614        0.05455476       71.58579254       71.69053650
   144         7.22041082        0.05482233       72.23856354       72.19221497
   145         7.27051401        0.05533068       72.44973755       72.69320679
   146         7.32073021        0.05637414       73.33087158       73.19538879
   147         7.37081194        0.05701628       73.89215088       73.69618988
   148         7.42092180        0.05784570       74.22116089       74.19724274
   149         7.47102118        0.05835406       74.45411682       74.69827271
   150         7.52117777        0.05929051       75.08724976       75.19992065
   151         7.57130098        0.05961158       75.73685455       75.70104218
   152         7.62151814        0.06052127       76.23181915       76.20336151
   153         7.67167377        0.06127044       77.03356171       76.70478821
   154         7.72178221        0.06215337       77.10636139       77.20581818
   155         7.77189207        0.06357142       77.96360779       77.70686340
   156         7.82204103        0.06397275       78.23977661       78.20849609
   157         7.87219381        0.06448110       78.55674744       78.71002960
   158         7.92233896        0.06474867       79.19927216       79.21153259
   159         7.97249079        0.06525703       79.87393951       79.71295929
   160         8.02263546        0.06571186       80.22275543       80.21452332
   161         8.07272434        0.06667505       80.64630890       80.71533966
   162         8.12294674        0.06793259       81.02352905       81.21749115
   163         8.17303085        0.06865498       81.64067841       81.71836090
   164         8.22313976        0.06919009       82.20333862       82.21950531
   165         8.27322960        0.06956467       82.68025970       82.72039795
   166         8.32343197        0.07023355       83.23655701       83.22231293
   167         8.37348938        0.07044759       83.83668518       83.72307587
   168         8.42363930        0.07125028       84.09534454       84.22443390
   169         8.47385025        0.07285561       84.66057587       84.72650146
   170         8.52400494        0.07349776       85.20037842       85.22815704
   171         8.57407379        0.07422014       85.84510040       85.72887421
   172         8.62423992        0.07443418       86.19122314       86.23043060
   173         8.67439938        0.07504959       86.62812042       86.73203278
   174         8.72451878        0.07566494       87.19964600       87.23331451
   175         8.77469921        0.07668166       87.84706879       87.73497772
   176         8.82481575        0.07740407       88.32531738       88.23614502
   177         8.87493229        0.07823351       88.79923248       88.73741150
   178         8.92506886        0.07882213       89.28694916       89.23877716
   179         8.97520924        0.07903618       89.61398315       89.74018860
   180         9.02535725        0.07981208       90.16033936       90.24159241
   181         9.07551479        0.08029368       90.82215881       90.74317169
   182         9.12557411        0.08106960       91.28095245       91.24389648
   183         9.17573643        0.08227360       91.54624939       91.74546051
   184         9.22588634        0.08299600       92.20632935       92.24678802
   185         9.27605343        0.08374517       92.84377289       92.74855804
   186         9.32610989        0.08371841       93.24689484       93.24917603
   187         9.37619972        0.08502943       93.51890564       93.74995422
   188         9.42635632        0.08553779       94.18422699       94.25169373
   189         9.47642422        0.08585886       94.75148010       94.75234985
   190         9.52657795        0.08695584       95.27333832       95.25382996
   191         9.57664585        0.08751772       95.66696930       95.75457764
   192         9.62676620        0.08893576       96.22369385       96.25573730
   193         9.67699432        0.08901602       96.79386139       96.75785828
   194         9.72711372        0.08949762       97.27809143       97.25923157
   195         9.77726173        0.09062137       97.87258148       97.76062012
   196         9.82741737        0.09080864       98.21599579       98.26216125
   197         9.87755394        0.09166483       98.77896118       98.76367188
   198         9.92764091        0.09316316       99.32992554       99.26451874
   199         9.97778702        0.09404609       99.80805969       99.76594543
   200        10.02792168        0.09412635      100.13504028      100.26729584
   201        10.07804966        0.09434040      100.84025574      100.76857758
   202        10.12815475        0.09543737      101.43589020      101.26957703
   203        10.17831039        0.09567818      101.85664368      101.77113342
   204        10.22836685        0.09674840      102.46502686      102.27179718
   205        10.27847862        0.09763132      102.66809082      102.77271271
   206        10.32860661        0.09886208      103.19498444      103.27404022
   207        10.37885571        0.09958449      103.73390198      103.77653503
   208        10.42902374        0.09987880      104.24463654      104.27806854
