 C:\WinTA100\DIL805.PRO\Data\Quenching\01_Pierre_CCT_0,15oCs-1_01.31.18.PAR
                Time - rel. Change in Length /  Temperature  /  Nominal Temperature 
                  s                %                    °C                    °C
  2334       895.72705078        0.87354052      869.03625488      869.14111328
  2335       899.06060791        0.87219971      868.71221924      868.64111328
  2336       902.39404297        0.87094820      868.15368652      868.14105225
  2337       905.72845459        0.86880296      867.59075928      867.64093018
  2338       909.06164551        0.86749196      867.02600098      867.14093018
  2339       912.39483643        0.86647904      866.61993408      866.64093018
  2340       915.72900391        0.86540639      866.19921875      866.14080811
  2341       919.06335449        0.86290365      865.70153809      865.64068604
  2342       922.39746094        0.86129451      865.05389404      865.14056396
  2343       925.73138428        0.86025178      864.62481689      864.64044189
  2344       929.06451416        0.85846406      864.15234375      864.14050293
  2345       932.39770508        0.85810643      863.71160889      863.64050293
  2346       935.73114014        0.85640806      863.16766357      863.14050293
  2347       939.06451416        0.85479933      862.66265869      862.64050293
  2348       942.39862061        0.85348821      862.03973389      862.14038086
  2349       945.73193359        0.85146219      861.72375488      861.64038086
  2350       949.06628418        0.85032988      861.19036865      861.14025879
  2351       952.39935303        0.84886992      860.49182129      860.64025879
  2352       955.73333740        0.84758872      860.23657227      860.14019775
  2353       959.06658936        0.84624797      859.58935547      859.64019775
  2354       962.39971924        0.84496665      859.22009277      859.14019775
  2355       965.73309326        0.84347701      858.66345215      858.64019775
  2356       969.06671143        0.84124231      857.99017334      858.14019775
  2357       972.39971924        0.83972281      857.47265625      857.64019775
  2358       975.73400879        0.83793497      857.13903809      857.14007568
  2359       979.06719971        0.83698159      856.65612793      856.64007568
  2360       982.40124512        0.83623672      856.06054688      856.14001465
  2361       985.73480225        0.83486605      855.53881836      855.63995361
  2362       989.06811523        0.83373386      855.01501465      855.13995361
  2363       992.40155029        0.83185679      854.46203613      854.63995361
  2364       995.73474121        0.83018821      854.09710693      854.13995361
  2365       999.06860352        0.82869846      853.57623291      853.63989258
  2366      1002.40191650        0.82702994      853.23785400      853.13989258
  2367      1005.73583984        0.82586795      852.76489258      852.63977051
  2368      1009.06994629        0.82390147      852.18164063      852.13970947
  2369      1012.40399170        0.82318634      851.68603516      851.63958740
  2370      1015.73748779        0.82142836      851.03540039      851.13958740
  2371      1019.07086182        0.82023662      850.80981445      850.63952637
  2372      1022.40490723        0.81871700      850.02496338      850.13946533
  2373      1025.73901367        0.81740600      849.63085938      849.63934326
  2374      1029.07214355        0.81609499      849.22790527      849.13934326
  2375      1032.40649414        0.81454569      848.61572266      848.63922119
  2376      1035.74060059        0.81290692      848.30493164      848.13909912
  2377      1039.07397461        0.81126815      847.71765137      847.63909912
  2378      1042.40795898        0.81040412      847.11022949      847.13897705
  2379      1045.74145508        0.80864620      846.71289063      846.63897705
  2380      1049.07568359        0.80766296      846.26733398      846.13885498
  2381      1052.40893555        0.80602419      845.60058594      845.63885498
  2382      1055.74230957        0.80450463      845.09381104      845.13879395
  2383      1059.07580566        0.80358100      844.49908447      844.63879395
  2384      1062.41027832        0.80229980      843.97381592      844.13867188
  2385      1065.74365234        0.80116761      843.53717041      843.63861084
  2386      1069.07739258        0.79970759      843.11737061      843.13854980
  2387      1072.41088867        0.79809868      842.60827637      842.63854980
  2388      1075.74487305        0.79637051      842.20776367      842.13842773
  2389      1079.07873535        0.79556602      841.71875000      841.63836670
  2390      1082.41235352        0.79365909      841.06292725      841.13830566
  2391      1085.74597168        0.79237789      840.67358398      840.63830566
  2392      1089.07910156        0.79064983      840.18353271      840.13830566
  2393      1092.41296387        0.79017311      839.66308594      839.63824463
  2394      1095.74707031        0.78823638      839.07965088      839.13812256
  2395      1099.08105469        0.78704453      838.70465088      838.63800049
  2396      1102.41491699        0.78561437      838.13385010      838.13793945
  2397      1105.74829102        0.78427356      837.59875488      837.63793945
  2398      1109.08190918        0.78337979      837.27288818      837.13787842
  2399      1112.41564941        0.78123444      836.57580566      836.63781738
  2400      1115.74926758        0.78016186      836.11383057      836.13775635
  2401      1119.08264160        0.77843368      835.55407715      835.63781738
  2402      1122.41601563        0.77682477      835.12078857      835.13775635
  2403      1125.75036621        0.77584153      834.61853027      834.63763428
  2404      1129.08447266        0.77441132      834.09106445      834.13751221
  2405      1132.41796875        0.77304071      833.73535156      833.63751221
  2406      1135.75134277        0.77158070      833.14013672      833.13751221
  2407      1139.08459473        0.77053791      832.60089111      832.63751221
  2408      1142.41870117        0.76937592      832.05871582      832.13739014
  2409      1145.75195313        0.76767755      831.61096191      831.63739014
  2410      1149.08532715        0.76615804      831.15136719      831.13739014
  2411      1152.41870117        0.76466829      830.73327637      830.63739014
  2412      1155.75207520        0.76270169      830.07836914      830.13739014
  2413      1159.08544922        0.76186752      829.57788086      829.63739014
  2414      1162.41857910        0.76082462      829.21978760      829.13739014
  2415      1165.75195313        0.75945413      828.48742676      828.63739014
  2416      1169.08593750        0.75835168      828.24298096      828.13726807
  2417      1172.41992188        0.75683206      827.62982178      827.63720703
  2418      1175.75329590        0.75531244      827.19598389      827.13720703
  2419      1179.08642578        0.75391209      826.67211914      826.63720703
  2420      1182.42065430        0.75269043      826.07482910      826.13708496
  2421      1185.75488281        0.75167745      825.48413086      825.63696289
  2422      1189.08813477        0.75006849      825.02777100      825.13696289
  2423      1192.42138672        0.74887669      824.58306885      824.63696289
  2424      1195.75561523        0.74714857      824.07470703      824.13684082
  2425      1199.08959961        0.74574816      823.64886475      823.63671875
  2426      1202.42382813        0.74443716      823.18200684      823.13659668
