 C:\WinTA100\DIL805.PRO\Data\Quenching\03_Isabelle_CQ60_Homogeneizado_30min_II_09.01.17.PAR
                Time - rel. Change in Length /  Temperature  /  Nominal Temperature 
                  s                %                    °C                    °C
     0         0.00000000        0.00000000       24.83664894        0.00000000
     1         0.02523600       -0.00145684       24.85144234        0.24041998
     2         0.05031300       -0.00158928       24.67009163        0.49129999
     3         0.07538700       -0.00196012       24.80405426        0.74207002
     4         0.10046900       -0.00129792       24.75666618        0.99276000
     5         0.12659000       -0.00201309       24.70375824        1.25393009
     6         0.15168799       -0.00177470       24.74956322        1.50488997
     7         0.17674400       -0.00177470       24.67454338        1.75552988
     8         0.20186000       -0.00150982       24.77430153        2.00664997
     9         0.22693300       -0.00140387       24.74401855        2.25731993
    10         0.25199401       -0.00188065       24.70981598        2.50802994
    11         0.27711400       -0.00166875       24.65138626        2.75918007
    12         0.30212501       -0.00196012       24.72083473        3.00922990
    13         0.32714999       -0.00158928       24.76165390        3.25962996
    14         0.35222399       -0.00214553       24.90060425        3.51029015
    15         0.37733600       -0.00174821       24.72141838        3.76124001
    16         0.40236199       -0.00177470       24.79692650        4.01179981
    17         0.42745799       -0.00161577       24.83271217        4.26255989
    18         0.45250699       -0.00143036       24.79636765        4.51308012
    19         0.47757500       -0.00209256       24.74669456        4.76391983
    20         0.50263101       -0.00185417       24.71088409        5.01377010
    21         0.52767700       -0.00198661       24.66456985        5.26482010
    22         0.55272001       -0.00140387       24.77430153        5.51522970
    23         0.57780701       -0.00222500       24.73849487        5.76610041
    24         0.60284102       -0.00174821       24.63372421        6.01639986
    25         0.62789601       -0.00148333       24.77481270        6.26702023
    26         0.65302300       -0.00193363       24.82061768        6.51817036
    27         0.67808002       -0.00166875       24.69770050        6.76882982
    28         0.70315599       -0.00164226       24.75058556        7.01973009
    29         0.72823602       -0.00161577       24.68772697        7.27050018
    30         0.75331002       -0.00188065       24.58137512        7.52115011
    31         0.77842599       -0.00166875       24.74849129        7.77230978
    32         0.80350900       -0.00158928       24.60506821        8.02320004
    33         0.82859498       -0.00190714       24.76717567        8.27416992
    34         0.85361499       -0.00153631       24.71426582        8.52428055
    35         0.87871999       -0.00190714       24.65797806        8.77524948
    36         0.90374202       -0.00132440       24.72246552        9.02560043
    37         0.92882001       -0.00206607       24.68006516        9.27630997
    38         0.95383698       -0.00185417       24.70981598        9.52649975
    39         0.97890103       -0.00135089       24.78143120        9.77686977
    40         1.00394797       -0.00174821       24.68665886       10.02756023
    41         1.02903295       -0.00161577       24.71195602       10.27837944
