 C:\WinTA100\DIL805.PRO\Data\Quenching\2_Isabelle_CQ60_Homogeneizado_30min_06.06.17.PAR
                Time - rel. Change in Length /  Temperature  /  Nominal Temperature 
                  s                %                    °C                    °C
     0         0.00000000        0.00000000       25.75331688        0.00000000
     1         0.02520600       -0.00058625       25.58223343        0.24001001
     2         0.05025400       -0.00213184       25.80761337        0.49066001
     3         0.07531800       -0.00087938       25.69589233        0.74124002
     4         0.10034900       -0.00159888       25.67364883        0.99157995
     5         0.12647600       -0.00146564       25.61931038        1.25291002
     6         0.15157200       -0.00125245       25.72675896        1.50374997
     7         0.17662100       -0.00215848       25.66348839        1.75414991
     8         0.20171900       -0.00077279       25.64587212        2.00521994
     9         0.22681201       -0.00255820       25.93296432        2.25626993
    10         0.25190300       -0.00039972       25.65173721        2.50712013
    11         0.27699000       -0.00210519       25.65016174        2.75797987
    12         0.30207399       -0.00082609       25.74590302        3.00879002
    13         0.32717299       -0.00181206       25.55013466        3.25988007
    14         0.35218701       -0.00170547       25.81815147        3.50998998
    15         0.37726301       -0.00093268       25.69589233        3.76076007
    16         0.40235400       -0.00237167       25.51338959        4.01163006
    17         0.42746800       -0.00103927       25.61931038        4.26268005
    18         0.45253500       -0.00210519       25.79746056        4.51348019
    19         0.47758701       -0.00085273       25.74280548        4.76397991
    20         0.50262600       -0.00191865       25.76626205        5.01434994
    21         0.52766800       -0.00189200       25.85485077        5.26480007
    22         0.55272698       -0.00119916       25.69002724        5.51540947
    23         0.57775599       -0.00221178       25.56928444        5.76560974
    24         0.60282302       -0.00069285       25.67519379        6.01632023
    25         0.62786502       -0.00255820       25.73694229        6.26682997
    26         0.65296501       -0.00034642       25.62086296        6.51763964
    27         0.67804700       -0.00213184       25.57202721        6.76844025
    28         0.70308101       -0.00106592       25.66932869        7.01894999
    29         0.72813702       -0.00122581       25.69744110        7.26939964
    30         0.75322098       -0.00178541       25.86659622        7.52031040
    31         0.77825803       -0.00122581       25.77834320        7.77070999
    32         0.80335897       -0.00221178       25.67827415        8.02155972
    33         0.82842898       -0.00079944       25.59272194        8.27241993
    34         0.85350698       -0.00229172       25.62672806        8.52324009
    35         0.87854397       -0.00122581       25.43677902        8.77351952
    36         0.90358198       -0.00175877       25.66191673        9.02400970
    37         0.92866302       -0.00151893       25.79590988        9.27470016
    38         0.95371902       -0.00085273       25.56031609        9.52530956
    39         0.97877401       -0.00207854       25.75915718        9.77589989
    40         1.00381899       -0.00053296       25.73848724       10.02637959
    41         1.02889502       -0.00229172       25.72244835       10.27700996
    42         1.05394602       -0.00093268       25.66777992       10.52757072
    43         1.07904899       -0.00186536       25.60600662       10.77857971
    44         1.10418200       -0.00149229       25.82832336       11.02985001
    45         1.12924802       -0.00130575       25.82401276       11.28059006
    46         1.15431905       -0.00234502       25.90055847       11.53131008
    47         1.17939794       -0.00053296       25.90641975       11.78199959
    48         1.20444500       -0.00247826       25.77676964       12.03252983
    49         1.22952104       -0.00045301       25.60016632       12.28333950
    50         1.25463498       -0.00242496       25.54272079       12.53439999
    51         1.27970803       -0.00135905       25.50165749       12.78520012
    52         1.30483699       -0.00170547       25.77090645       13.03640938
    53         1.32990503       -0.00215848       25.74590302       13.28708076
